month,city,bedrooms,area_sqm,rent_eur,rent_per_sqm
2024-02-01,Lisbon,1,78,1097.04,14.06
2024-02-01,Lisbon,2,89,1700.03,19.1
2024-02-01,Lisbon,2,87,1639.37,18.84
2024-02-01,Lisbon,2,86,1493.13,17.36
2024-02-01,Lisbon,1,85,1388.3,16.33
2024-02-01,Lisbon,1,62,1233.73,19.9
2024-02-01,Lisbon,2,75,1512.86,20.17
2024-02-01,Lisbon,2,80,1514.83,18.94
2024-02-01,Lisbon,4,142,1627.82,11.46
2024-03-01,Lisbon,1,62,1417.15,22.86
2024-03-01,Lisbon,1,75,1349.29,17.99
2024-03-01,Lisbon,1,79,1323.6,16.75
2024-03-01,Lisbon,2,97,1354.47,13.96
2024-03-01,Lisbon,3,118,1535.58,13.01
2024-03-01,Lisbon,1,64,1468.04,22.94
2024-03-01,Lisbon,1,70,1286.38,18.38
2024-03-01,Lisbon,2,103,1447.95,14.06
2024-03-01,Lisbon,2,89,1471.2,16.53
2024-03-01,Lisbon,1,81,1345.32,16.61
2024-03-01,Lisbon,2,80,1432.51,17.91
2024-03-01,Lisbon,2,99,1552.4,15.68
2024-03-01,Lisbon,2,100,1443.46,14.43
2024-03-01,Lisbon,3,127,1765.23,13.9
2024-03-01,Lisbon,2,97,1554.77,16.03
2024-03-01,Lisbon,4,141,1522.4,10.8
2024-03-01,Lisbon,1,79,1268.76,16.06
2024-03-01,Lisbon,2,95,1418.83,14.94
2024-03-01,Lisbon,2,97,1381.36,14.24
2024-03-01,Lisbon,1,71,1265.66,17.83
2024-03-01,Lisbon,3,94,1542.22,16.41
2024-03-01,Lisbon,1,74,1232.51,16.66
2024-03-01,Lisbon,1,67,1407.93,21.01
2024-03-01,Lisbon,3,104,1613.72,15.52
2024-03-01,Lisbon,3,113,1362.69,12.06
2024-04-01,Lisbon,3,135,1412.64,10.46
2024-04-01,Lisbon,1,64,1352.46,21.13
2024-04-01,Lisbon,1,80,1351.02,16.89
2024-04-01,Lisbon,2,87,1414.48,16.26
2024-04-01,Lisbon,3,89,1615.85,18.16
2024-04-01,Lisbon,2,94,1549.28,16.48
2024-04-01,Lisbon,2,86,1588.0,18.47
2024-04-01,Lisbon,2,106,1564.68,14.76
2024-04-01,Lisbon,1,69,1242.04,18.0
2024-04-01,Lisbon,2,75,1466.47,19.55
2024-04-01,Lisbon,3,93,1575.15,16.94
2024-04-01,Lisbon,1,52,1291.88,24.84
2024-04-01,Lisbon,2,81,1580.47,19.51
2024-04-01,Lisbon,2,65,1460.43,22.47
2024-04-01,Lisbon,2,93,1389.93,14.95
2024-04-01,Lisbon,2,88,1402.59,15.94
2024-04-01,Lisbon,1,63,1333.09,21.16
2024-04-01,Lisbon,2,86,1532.3,17.82
2024-04-01,Lisbon,2,97,1497.63,15.44
2024-04-01,Lisbon,2,90,1385.12,15.39
2024-04-01,Lisbon,1,91,1497.39,16.45
2024-04-01,Lisbon,2,99,1347.01,13.61
2024-04-01,Lisbon,3,122,1773.33,14.54
2024-04-01,Lisbon,2,83,1743.58,21.01
2024-04-01,Lisbon,1,88,1366.89,15.53
2024-05-01,Lisbon,1,63,1467.53,23.29
2024-05-01,Lisbon,2,76,1419.18,18.67
2024-05-01,Lisbon,2,87,1400.86,16.1
2024-05-01,Lisbon,3,124,1526.55,12.31
2024-05-01,Lisbon,1,52,1228.59,23.63
2024-05-01,Lisbon,2,89,1339.31,15.05
2024-05-01,Lisbon,1,54,1404.16,26.0
2024-05-01,Lisbon,3,98,1342.82,13.7
2024-05-01,Lisbon,1,45,1349.12,29.98
2024-05-01,Lisbon,3,131,1350.23,10.31
2024-05-01,Lisbon,2,77,1309.89,17.01
2024-05-01,Lisbon,3,125,1662.96,13.3
2024-05-01,Lisbon,3,119,1293.32,10.87
2024-05-01,Lisbon,2,79,1475.18,18.67
2024-05-01,Lisbon,2,87,1442.29,16.58
2024-05-01,Lisbon,1,73,1364.41,18.69
2024-05-01,Lisbon,2,93,1572.4,16.91
2024-05-01,Lisbon,3,110,1736.05,15.78
2024-05-01,Lisbon,4,154,1530.91,9.94
2024-05-01,Lisbon,4,121,1989.43,16.44
2024-05-01,Lisbon,3,104,1536.8,14.78
2024-05-01,Lisbon,2,85,1447.72,17.03
2024-05-01,Lisbon,3,111,1587.31,14.3
2024-05-01,Lisbon,3,126,1560.6,12.39
2024-05-01,Lisbon,4,119,1804.75,15.17
2024-06-01,Lisbon,1,52,1325.87,25.5
2024-06-01,Lisbon,1,69,1544.54,22.38
2024-06-01,Lisbon,1,79,1265.22,16.02
2024-06-01,Lisbon,1,69,1435.99,20.81
2024-06-01,Lisbon,3,102,1704.44,16.71
2024-06-01,Lisbon,2,81,1231.42,15.2
2024-06-01,Lisbon,2,85,1452.96,17.09
2024-06-01,Lisbon,2,83,1435.05,17.29
2024-06-01,Lisbon,3,128,1593.91,12.45
2024-06-01,Lisbon,1,52,1368.1,26.31
2024-06-01,Lisbon,3,92,1672.62,18.18
2024-06-01,Lisbon,2,84,1508.18,17.95
2024-06-01,Lisbon,2,96,1548.62,16.13
2024-06-01,Lisbon,3,109,1558.74,14.3
2024-06-01,Lisbon,1,62,1354.71,21.85
2024-06-01,Lisbon,3,111,1786.03,16.09
2024-06-01,Lisbon,4,131,1684.25,12.86
2024-06-01,Lisbon,2,96,1427.55,14.87
2024-06-01,Lisbon,2,91,1489.87,16.37
2024-06-01,Lisbon,3,127,1586.58,12.49
2024-06-01,Lisbon,1,69,1179.67,17.1
2024-06-01,Lisbon,1,62,1426.98,23.02
2024-06-01,Lisbon,1,63,1329.06,21.1
2024-06-01,Lisbon,3,120,1673.37,13.94
2024-06-01,Lisbon,1,63,1506.33,23.91
2024-07-01,Lisbon,2,72,1317.21,18.29
2024-07-01,Lisbon,2,103,1396.72,13.56
2024-07-01,Lisbon,2,86,1549.47,18.02
2024-07-01,Lisbon,1,60,1180.1,19.67
2024-07-01,Lisbon,2,103,1486.82,14.44
2024-07-01,Lisbon,2,103,1398.92,13.58
2024-07-01,Lisbon,3,127,1602.28,12.62
2024-07-01,Lisbon,2,116,1525.35,13.15
2024-07-01,Lisbon,1,78,1446.3,18.54
2024-07-01,Lisbon,4,125,1756.4,14.05
2024-07-01,Lisbon,2,96,1472.02,15.33
2024-07-01,Lisbon,1,65,1322.37,20.34
2024-07-01,Lisbon,3,120,1788.66,14.91
2024-07-01,Lisbon,2,95,1531.18,16.12
2024-07-01,Lisbon,2,70,1305.79,18.65
2024-07-01,Lisbon,2,63,1658.04,26.32
2024-07-01,Lisbon,2,88,1190.27,13.53
2024-07-01,Lisbon,1,66,1611.16,24.41
2024-07-01,Lisbon,2,99,1412.61,14.27
2024-07-01,Lisbon,2,103,1430.03,13.88
2024-07-01,Lisbon,2,106,1480.92,13.97
2024-07-01,Lisbon,3,102,1777.87,17.43
2024-07-01,Lisbon,1,72,1372.11,19.06
2024-07-01,Lisbon,3,110,1537.46,13.98
2024-07-01,Lisbon,2,86,1280.45,14.89
2024-08-01,Lisbon,2,68,1560.34,22.95
2024-08-01,Lisbon,4,136,1737.75,12.78
2024-08-01,Lisbon,3,116,1620.58,13.97
2024-08-01,Lisbon,2,85,1535.26,18.06
2024-08-01,Lisbon,3,131,1422.79,10.86
2024-08-01,Lisbon,2,70,1677.59,23.97
2024-08-01,Lisbon,2,93,1501.59,16.15
2024-08-01,Lisbon,3,125,1750.55,14.0
2024-08-01,Lisbon,3,106,1699.73,16.04
2024-08-01,Lisbon,3,108,1554.34,14.39
2024-08-01,Lisbon,4,152,1622.58,10.67
2024-08-01,Lisbon,2,93,1543.26,16.59
2024-08-01,Lisbon,2,111,1534.87,13.83
2024-08-01,Lisbon,2,110,1421.62,12.92
2024-08-01,Lisbon,3,95,1577.59,16.61
2024-08-01,Lisbon,1,75,1414.6,18.86
2024-08-01,Lisbon,2,87,1578.99,18.15
2024-08-01,Lisbon,2,91,1570.94,17.26
2024-08-01,Lisbon,2,97,1262.37,13.01
2024-08-01,Lisbon,1,53,1546.06,29.17
2024-08-01,Lisbon,2,69,1497.34,21.7
2024-08-01,Lisbon,2,70,1548.36,22.12
2024-08-01,Lisbon,1,54,1285.22,23.8
2024-08-01,Lisbon,3,126,1743.36,13.84
2024-08-01,Lisbon,2,59,1530.81,25.95
2024-09-01,Lisbon,3,125,1665.18,13.32
2024-09-01,Lisbon,2,82,1736.4,21.18
2024-09-01,Lisbon,2,75,1607.53,21.43
2024-09-01,Lisbon,2,74,1683.64,22.75
2024-09-01,Lisbon,2,84,1336.05,15.91
2024-09-01,Lisbon,3,110,1786.65,16.24
2024-09-01,Lisbon,3,104,1538.32,14.79
2024-09-01,Lisbon,2,106,1241.0,11.71
2024-09-01,Lisbon,1,65,1230.67,18.93
2024-09-01,Lisbon,2,72,1424.36,19.78
2024-09-01,Lisbon,2,83,1475.71,17.78
2024-09-01,Lisbon,1,85,1429.13,16.81
2024-09-01,Lisbon,2,87,1413.66,16.25
2024-09-01,Lisbon,4,126,1701.82,13.51
2024-09-01,Lisbon,2,74,1577.47,21.32
2024-09-01,Lisbon,3,126,1720.71,13.66
2024-09-01,Lisbon,3,109,1492.85,13.7
2024-09-01,Lisbon,2,70,1299.55,18.57
2024-09-01,Lisbon,2,108,1509.64,13.98
2024-09-01,Lisbon,2,65,1420.06,21.85
2024-09-01,Lisbon,2,98,1283.86,13.1
2024-09-01,Lisbon,2,95,1623.04,17.08
2024-09-01,Lisbon,2,95,1554.91,16.37
2024-09-01,Lisbon,2,75,1558.44,20.78
2024-09-01,Lisbon,2,99,1525.57,15.41
2024-10-01,Lisbon,3,119,1609.82,13.53
2024-10-01,Lisbon,2,85,1400.27,16.47
2024-10-01,Lisbon,4,115,1600.85,13.92
2024-10-01,Lisbon,1,86,1507.06,17.52
2024-10-01,Lisbon,2,105,1665.42,15.86
2024-10-01,Lisbon,2,58,1480.61,25.53
2024-10-01,Lisbon,4,152,1616.79,10.64
2024-10-01,Lisbon,2,62,1442.15,23.26
2024-10-01,Lisbon,2,102,1658.78,16.26
2024-10-01,Lisbon,2,72,1602.14,22.25
2024-10-01,Lisbon,2,68,1221.29,17.96
2024-10-01,Lisbon,2,86,1322.93,15.38
2024-10-01,Lisbon,1,71,1359.23,19.14
2024-10-01,Lisbon,4,155,1860.55,12.0
2024-10-01,Lisbon,3,107,1656.73,15.48
2024-10-01,Lisbon,1,70,1197.0,17.1
2024-10-01,Lisbon,3,96,1464.65,15.26
2024-10-01,Lisbon,2,89,1516.96,17.04
2024-10-01,Lisbon,2,81,1549.96,19.14
2024-10-01,Lisbon,2,63,1516.93,24.08
2024-10-01,Lisbon,2,104,1404.82,13.51
2024-10-01,Lisbon,2,77,1347.38,17.5
2024-10-01,Lisbon,2,56,1431.71,25.57
2024-10-01,Lisbon,3,111,1726.52,15.55
2024-10-01,Lisbon,1,47,1556.84,33.12
2024-11-01,Lisbon,2,90,1349.64,15.0
2024-11-01,Lisbon,1,53,1529.29,28.85
2024-11-01,Lisbon,4,138,1652.46,11.97
2024-11-01,Lisbon,4,112,1937.13,17.3
2024-11-01,Lisbon,3,106,1700.19,16.04
2024-11-01,Lisbon,4,130,1682.39,12.94
2024-11-01,Lisbon,2,81,1420.4,17.54
2024-11-01,Lisbon,2,91,1772.11,19.47
2024-11-01,Lisbon,2,102,1355.73,13.29
2024-11-01,Lisbon,3,102,1666.41,16.34
2024-11-01,Lisbon,2,89,1807.95,20.31
2024-11-01,Lisbon,2,103,1594.36,15.48
2024-11-01,Lisbon,2,71,1673.14,23.57
2024-11-01,Lisbon,2,82,1567.98,19.12
2024-11-01,Lisbon,3,97,1548.37,15.96
2024-11-01,Lisbon,3,108,1726.02,15.98
2024-11-01,Lisbon,4,138,1639.42,11.88
2024-11-01,Lisbon,3,107,1492.77,13.95
2024-11-01,Lisbon,2,94,1434.79,15.26
2024-11-01,Lisbon,3,102,1599.47,15.68
2024-11-01,Lisbon,4,143,1901.08,13.29
2024-11-01,Lisbon,1,79,1288.54,16.31
2024-11-01,Lisbon,2,99,1691.68,17.09
2024-11-01,Lisbon,4,122,1842.01,15.1
2024-11-01,Lisbon,2,94,1632.77,17.37
2024-12-01,Lisbon,2,83,1360.36,16.39
2024-12-01,Lisbon,2,83,1411.23,17.0
2024-12-01,Lisbon,1,63,1343.2,21.32
2024-12-01,Lisbon,1,62,1424.74,22.98
2024-12-01,Lisbon,1,59,1158.43,19.63
2024-12-01,Lisbon,1,52,1403.88,27.0
2024-12-01,Lisbon,2,67,1428.62,21.32
2024-12-01,Lisbon,2,85,1639.85,19.29
2024-12-01,Lisbon,2,88,1689.18,19.2
2024-12-01,Lisbon,1,57,1400.66,24.57
2024-12-01,Lisbon,2,94,1566.99,16.67
2024-12-01,Lisbon,3,113,1604.72,14.2
2024-12-01,Lisbon,2,98,1562.07,15.94
2024-12-01,Lisbon,2,100,1386.5,13.87
2024-12-01,Lisbon,2,50,1490.88,29.82
2024-12-01,Lisbon,2,93,1243.74,13.37
2024-12-01,Lisbon,2,94,1366.12,14.53
2024-12-01,Lisbon,2,82,1495.73,18.24
2024-12-01,Lisbon,3,122,1632.02,13.38
2024-12-01,Lisbon,2,83,1582.8,19.07
2024-12-01,Lisbon,3,108,1569.84,14.54
2024-12-01,Lisbon,2,76,1259.25,16.57
2024-12-01,Lisbon,3,122,1387.02,11.37
2024-12-01,Lisbon,2,101,1577.47,15.62
2024-12-01,Lisbon,2,77,1510.53,19.62
2025-01-01,Lisbon,2,90,1491.58,16.57
2025-01-01,Lisbon,3,116,1696.21,14.62
2025-01-01,Lisbon,3,112,1853.3,16.55
2025-01-01,Lisbon,3,126,1539.58,12.22
2025-01-01,Lisbon,1,81,1356.9,16.75
2025-01-01,Lisbon,2,94,1400.95,14.9
2025-01-01,Lisbon,2,102,1635.0,16.03
2025-01-01,Lisbon,2,87,1541.46,17.72
2025-01-01,Lisbon,3,139,1665.38,11.98
2025-01-01,Lisbon,2,103,1467.52,14.25
2025-01-01,Lisbon,1,46,1336.02,29.04
2025-01-01,Lisbon,2,107,1414.47,13.22
2025-01-01,Lisbon,2,95,1434.01,15.09
2025-01-01,Lisbon,2,99,1444.27,14.59
2025-01-01,Lisbon,2,73,1516.29,20.77
2025-01-01,Lisbon,3,107,1454.03,13.59
2025-01-01,Lisbon,2,114,1377.43,12.08
2025-01-01,Lisbon,2,77,1474.79,19.15
2025-01-01,Lisbon,4,127,1717.82,13.53
2025-01-01,Lisbon,2,102,1090.78,10.69
2025-01-01,Lisbon,3,110,1549.06,14.08
2025-01-01,Lisbon,3,125,1451.43,11.61
2025-01-01,Lisbon,1,49,1562.52,31.89
2025-01-01,Lisbon,3,104,1581.78,15.21
2025-01-01,Lisbon,3,113,1515.38,13.41
2025-02-01,Lisbon,2,79,1362.04,17.24
2025-02-01,Lisbon,2,75,1465.38,19.54
2025-02-01,Lisbon,2,90,1776.66,19.74
2025-02-01,Lisbon,2,94,1520.83,16.18
2025-02-01,Lisbon,3,119,1618.55,13.6
2025-02-01,Lisbon,1,58,1479.78,25.51
2025-02-01,Lisbon,2,98,1516.99,15.48
2025-02-01,Lisbon,1,64,1379.3,21.55
2025-02-01,Lisbon,4,171,1918.58,11.22
2025-02-01,Lisbon,2,96,1607.53,16.75
2025-02-01,Lisbon,2,73,1511.77,20.71
2025-02-01,Lisbon,1,47,1306.28,27.79
2025-02-01,Lisbon,2,89,1704.12,19.15
2025-02-01,Lisbon,3,139,1440.06,10.36
2025-02-01,Lisbon,4,132,1612.52,12.22
2025-02-01,Lisbon,2,88,1494.55,16.98
2025-02-01,Lisbon,4,138,1718.75,12.45
2025-02-01,Lisbon,4,130,1634.6,12.57
2025-02-01,Lisbon,1,64,1235.0,19.3
2025-02-01,Lisbon,1,73,1168.9,16.01
2025-02-01,Lisbon,3,112,1634.3,14.59
2025-02-01,Lisbon,1,76,1399.62,18.42
2025-02-01,Lisbon,2,91,1301.24,14.3
2025-02-01,Lisbon,1,53,1445.44,27.27
2025-02-01,Lisbon,2,101,1400.4,13.87
2025-03-01,Lisbon,4,131,1642.4,12.54
2025-03-01,Lisbon,2,88,1443.21,16.4
2025-03-01,Lisbon,2,87,1505.02,17.3
2025-03-01,Lisbon,1,51,1414.72,27.74
2025-03-01,Lisbon,1,54,1373.71,25.44
2025-03-01,Lisbon,2,91,1455.95,16.0
2025-03-01,Lisbon,2,96,1213.42,12.64
2025-03-01,Lisbon,3,88,1461.0,16.6
2025-03-01,Lisbon,1,93,1623.06,17.45
2025-03-01,Lisbon,2,93,1282.9,13.79
2025-03-01,Lisbon,2,82,1418.83,17.3
2025-03-01,Lisbon,2,83,1638.01,19.74
2025-03-01,Lisbon,1,67,1290.72,19.26
2025-03-01,Lisbon,1,70,1259.75,18.0
2025-03-01,Lisbon,2,86,1439.12,16.73
2025-03-01,Lisbon,2,87,1425.18,16.38
2025-03-01,Lisbon,2,85,1445.53,17.01
2025-03-01,Lisbon,1,71,1355.25,19.09
2025-03-01,Lisbon,2,76,1468.22,19.32
2025-03-01,Lisbon,2,74,1575.36,21.29
2025-03-01,Lisbon,2,84,1451.07,17.27
2025-03-01,Lisbon,1,59,1136.07,19.26
2025-03-01,Lisbon,1,76,1578.74,20.77
2025-03-01,Lisbon,3,126,1741.41,13.82
2025-03-01,Lisbon,2,85,1548.51,18.22
2025-04-01,Lisbon,3,115,1562.01,13.58
2025-04-01,Lisbon,2,112,1562.66,13.95
2025-04-01,Lisbon,2,95,1565.54,16.48
2025-04-01,Lisbon,2,99,1623.42,16.4
2025-04-01,Lisbon,2,80,1580.12,19.75
2025-04-01,Lisbon,2,85,1878.24,22.1
2025-04-01,Lisbon,2,100,1417.85,14.18
2025-04-01,Lisbon,2,119,1404.89,11.81
2025-04-01,Lisbon,2,88,1419.86,16.13
2025-04-01,Lisbon,3,104,1735.02,16.68
2025-04-01,Lisbon,4,111,1740.23,15.68
2025-04-01,Lisbon,3,129,1451.13,11.25
2025-04-01,Lisbon,4,137,1693.77,12.36
2025-04-01,Lisbon,4,157,1639.79,10.44
2025-04-01,Lisbon,2,86,1622.34,18.86
2025-04-01,Lisbon,2,79,1487.64,18.83
2025-04-01,Lisbon,3,119,1498.12,12.59
2025-04-01,Lisbon,2,79,1528.86,19.35
2025-04-01,Lisbon,1,51,1296.32,25.42
2025-04-01,Lisbon,3,106,1522.73,14.37
2025-04-01,Lisbon,2,79,1413.8,17.9
2025-04-01,Lisbon,2,100,1557.93,15.58
2025-04-01,Lisbon,2,71,1381.45,19.46
2025-04-01,Lisbon,3,126,1718.97,13.64
2025-04-01,Lisbon,3,104,1542.71,14.83
2025-05-01,Lisbon,4,138,1737.62,12.59
2025-05-01,Lisbon,1,82,1585.23,19.33
2025-05-01,Lisbon,2,83,1612.71,19.43
2025-05-01,Lisbon,1,86,1467.56,17.06
2025-05-01,Lisbon,1,68,1641.23,24.14
2025-05-01,Lisbon,3,133,1630.8,12.26
2025-05-01,Lisbon,2,79,1320.4,16.71
2025-05-01,Lisbon,1,54,1436.93,26.61
2025-05-01,Lisbon,2,80,1500.15,18.75
2025-05-01,Lisbon,1,62,1749.62,28.22
2025-05-01,Lisbon,4,129,1695.48,13.14
2025-05-01,Lisbon,1,68,1360.52,20.01
2025-05-01,Lisbon,3,99,1530.41,15.46
2025-05-01,Lisbon,2,74,1629.77,22.02
2025-05-01,Lisbon,1,45,1429.23,31.76
2025-05-01,Lisbon,1,75,1382.67,18.44
2025-05-01,Lisbon,3,123,1517.11,12.33
2025-05-01,Lisbon,2,79,1376.24,17.42
2025-05-01,Lisbon,1,66,1536.34,23.28
2025-05-01,Lisbon,4,130,1770.76,13.62
2025-05-01,Lisbon,4,136,1637.55,12.04
2025-05-01,Lisbon,2,85,1475.78,17.36
2025-05-01,Lisbon,2,96,1548.13,16.13
2025-05-01,Lisbon,2,84,1460.22,17.38
2025-05-01,Lisbon,3,116,1738.09,14.98
2025-06-01,Lisbon,3,122,1649.73,13.52
2025-06-01,Lisbon,4,135,1603.28,11.88
2025-06-01,Lisbon,1,48,1286.4,26.8
2025-06-01,Lisbon,3,108,1637.23,15.16
2025-06-01,Lisbon,1,65,1503.67,23.13
2025-06-01,Lisbon,3,115,1560.52,13.57
2025-06-01,Lisbon,2,89,1457.72,16.38
2025-06-01,Lisbon,3,122,1793.4,14.7
2025-06-01,Lisbon,3,101,1599.68,15.84
2025-06-01,Lisbon,3,124,2011.26,16.22
2025-06-01,Lisbon,2,84,1616.51,19.24
2025-06-01,Lisbon,1,65,1366.05,21.02
2025-06-01,Lisbon,1,68,1396.29,20.53
2025-06-01,Lisbon,1,67,1256.88,18.76
2025-06-01,Lisbon,3,85,1502.58,17.68
2025-06-01,Lisbon,1,64,1539.93,24.06
2025-06-01,Lisbon,2,86,1478.18,17.19
2025-06-01,Lisbon,1,75,1503.49,20.05
2025-06-01,Lisbon,2,84,1713.56,20.4
2025-06-01,Lisbon,1,54,1517.86,28.11
2025-06-01,Lisbon,1,73,1433.17,19.63
2025-06-01,Lisbon,2,88,1547.29,17.58
2025-06-01,Lisbon,1,59,1328.19,22.51
2025-06-01,Lisbon,1,66,1367.05,20.71
2025-06-01,Lisbon,3,130,1602.41,12.33
2025-07-01,Lisbon,2,68,1539.49,22.64
2025-07-01,Lisbon,1,77,1439.07,18.69
2025-07-01,Lisbon,3,119,1809.68,15.21
2025-07-01,Lisbon,3,129,1642.94,12.74
2025-07-01,Lisbon,1,74,1526.47,20.63
2025-07-01,Lisbon,4,148,2037.91,13.77
2025-07-01,Lisbon,1,69,1244.95,18.04
2025-07-01,Lisbon,2,82,1572.5,19.18
2025-07-01,Lisbon,2,94,1532.35,16.3
2025-07-01,Lisbon,3,78,1689.7,21.66
2025-07-01,Lisbon,1,89,1520.15,17.08
2025-07-01,Lisbon,2,91,1545.37,16.98
2025-07-01,Lisbon,1,66,1323.29,20.05
2025-07-01,Lisbon,4,119,1853.69,15.58
2025-07-01,Lisbon,1,62,1351.33,21.8
2025-07-01,Lisbon,3,120,1518.03,12.65
2025-07-01,Lisbon,2,100,1366.23,13.66
2025-07-01,Lisbon,1,86,1635.5,19.02
2025-07-01,Lisbon,1,69,1520.92,22.04
2025-07-01,Lisbon,1,94,1121.53,11.93
2025-07-01,Lisbon,3,121,1621.15,13.4
2025-07-01,Lisbon,2,88,1562.13,17.75
2025-07-01,Lisbon,3,104,1593.88,15.33
2025-07-01,Lisbon,2,79,1668.92,21.13
2025-07-01,Lisbon,4,146,1638.24,11.22
2025-08-01,Lisbon,3,110,2046.84,18.61
2025-08-01,Lisbon,3,104,1725.19,16.59
2025-08-01,Lisbon,2,72,1728.05,24.0
2025-08-01,Lisbon,2,87,1553.09,17.85
2025-08-01,Lisbon,2,79,1328.09,16.81
2025-08-01,Lisbon,2,64,1510.86,23.61
2025-08-01,Lisbon,1,73,1565.51,21.45
2025-08-01,Lisbon,1,95,1353.53,14.25
2025-08-01,Lisbon,2,83,1674.38,20.17
2025-08-01,Lisbon,2,109,1480.99,13.59
2025-08-01,Lisbon,2,96,1545.78,16.1
2025-08-01,Lisbon,2,92,1596.27,17.35
2025-08-01,Lisbon,3,102,1626.44,15.95
2025-08-01,Lisbon,1,77,1269.43,16.49
2025-08-01,Lisbon,2,96,1659.12,17.28
2025-08-01,Lisbon,1,65,1489.77,22.92
2025-08-01,Lisbon,1,83,1323.17,15.94
2025-08-01,Lisbon,2,98,1480.18,15.1
2025-08-01,Lisbon,3,109,1829.97,16.79
2025-08-01,Lisbon,2,117,1441.08,12.32
2025-08-01,Lisbon,1,52,1435.41,27.6
2025-08-01,Lisbon,1,49,1797.36,36.68
2025-08-01,Lisbon,1,61,1555.97,25.51
2025-08-01,Lisbon,1,80,1273.85,15.92
2025-08-01,Lisbon,2,66,1667.22,25.26
2025-09-01,Lisbon,3,101,1674.58,16.58
2025-09-01,Lisbon,2,85,1752.48,20.62
2025-09-01,Lisbon,2,96,1395.18,14.53
2025-09-01,Lisbon,3,101,1900.88,18.82
2025-09-01,Lisbon,2,95,1689.16,17.78
2025-09-01,Lisbon,2,86,1698.28,19.75
2025-09-01,Lisbon,2,74,1516.82,20.5
2025-09-01,Lisbon,2,93,1310.17,14.09
2025-09-01,Lisbon,3,125,1613.33,12.91
2025-09-01,Lisbon,2,86,1586.45,18.45
2025-09-01,Lisbon,4,140,1581.65,11.3
2025-09-01,Lisbon,3,109,1647.54,15.12
2025-09-01,Lisbon,1,59,1680.14,28.48
2025-09-01,Lisbon,2,91,1580.64,17.37
2025-09-01,Lisbon,3,117,1732.46,14.81
2025-09-01,Lisbon,2,67,1322.71,19.74
2025-09-01,Lisbon,1,64,1510.38,23.6
2025-09-01,Lisbon,3,117,1513.07,12.93
2025-09-01,Lisbon,3,94,1725.29,18.35
2025-09-01,Lisbon,4,143,1840.28,12.87
2025-09-01,Lisbon,2,84,1671.34,19.9
2025-09-01,Lisbon,1,47,1347.59,28.67
2025-09-01,Lisbon,2,68,1570.3,23.09
2025-09-01,Lisbon,2,94,1633.34,17.38
2025-09-01,Lisbon,1,63,1295.5,20.56
2025-10-01,Lisbon,2,73,1450.13,19.86
2025-10-01,Lisbon,1,65,1838.41,28.28
2025-10-01,Lisbon,4,131,1614.91,12.33
2025-10-01,Lisbon,3,106,1789.83,16.89
2025-10-01,Lisbon,4,130,1744.06,13.42
2025-10-01,Lisbon,1,59,1390.35,23.57
2025-10-01,Lisbon,3,117,1649.5,14.1
2025-10-01,Lisbon,1,46,1510.17,32.83
2025-10-01,Lisbon,1,75,1611.14,21.48
2025-10-01,Lisbon,2,76,1557.83,20.5
2025-10-01,Lisbon,4,129,1726.68,13.39
