date,city,temperature_c,humidity_percent,rainfall_mm
2023-06-29,Guarda,19.8,52.2,0.5
2023-06-30,Guarda,22.2,57.8,3.7
2023-07-01,Guarda,20.7,56.2,3.9
2023-07-02,Guarda,24.1,41.8,1.3
2023-07-03,Guarda,20.5,52.8,1.0
2023-07-04,Guarda,22.4,51.8,1.7
2023-07-05,Guarda,20.6,55.7,2.1
2023-07-06,Guarda,22.0,38.4,1.5
2023-07-07,Guarda,21.8,55.7,2.7
2023-07-08,Guarda,19.9,43.9,1.3
2023-07-09,Guarda,19.3,53.0,1.6
2023-07-10,Guarda,19.7,48.7,0.8
2023-07-11,Guarda,21.2,53.6,4.6
2023-07-12,Guarda,20.4,58.0,2.1
2023-07-13,Guarda,25.8,55.5,0.1
2023-07-14,Guarda,20.5,63.0,2.1
2023-07-15,Guarda,24.7,60.0,0.7
2023-07-16,Guarda,24.8,39.7,1.4
2023-07-17,Guarda,21.5,58.1,1.0
2023-07-18,Guarda,19.9,58.6,0.5
2023-07-19,Guarda,21.9,50.1,0.2
2023-07-20,Guarda,23.2,53.9,2.2
2023-07-21,Guarda,24.7,46.8,1.9
2023-07-22,Guarda,18.9,55.9,3.8
2023-07-23,Guarda,19.2,54.1,1.4
2023-07-24,Guarda,17.6,55.2,1.1
2023-07-25,Guarda,22.1,61.8,0.8
2023-07-26,Guarda,22.5,57.4,0.1
2023-07-27,Guarda,20.3,48.4,2.9
2023-07-28,Guarda,18.6,53.0,2.3
2023-07-29,Guarda,22.9,64.3,2.5
2023-07-30,Guarda,23.7,51.1,5.2
2023-07-31,Guarda,23.4,52.4,1.5
2023-08-01,Guarda,18.7,48.3,0.8
2023-08-02,Guarda,16.7,52.6,2.6
2023-08-03,Guarda,23.4,47.4,0.3
2023-08-04,Guarda,24.7,50.9,0.1
2023-08-05,Guarda,22.5,46.1,2.4
2023-08-06,Guarda,20.3,57.8,0.4
2023-08-07,Guarda,17.7,65.3,0.3
2023-08-08,Guarda,17.9,52.3,0.7
2023-08-09,Guarda,20.1,50.4,0.6
2023-08-10,Guarda,19.6,69.3,1.3
2023-08-11,Guarda,17.9,55.1,1.1
2023-08-12,Guarda,20.7,61.0,1.5
2023-08-13,Guarda,22.1,55.0,0.7
2023-08-14,Guarda,17.2,45.1,0.4
2023-08-15,Guarda,22.3,52.6,3.6
2023-08-16,Guarda,19.1,51.4,3.9
2023-08-17,Guarda,16.3,74.8,1.3
2023-08-18,Guarda,22.9,62.0,2.1
2023-08-19,Guarda,20.7,57.7,0.9
2023-08-20,Guarda,18.1,61.7,1.5
2023-08-21,Guarda,20.2,72.3,2.2
2023-08-22,Guarda,19.7,68.4,0.3
2023-08-23,Guarda,16.9,65.0,1.0
2023-08-24,Guarda,15.6,65.3,2.4
2023-08-25,Guarda,16.9,66.2,1.8
2023-08-26,Guarda,21.1,58.2,1.5
2023-08-27,Guarda,15.4,67.7,1.5
2023-08-28,Guarda,22.1,73.0,1.4
2023-08-29,Guarda,17.6,54.2,1.0
2023-08-30,Guarda,15.0,44.4,1.1
2023-08-31,Guarda,16.8,65.3,0.4
2023-09-01,Guarda,17.3,54.8,1.1
2023-09-02,Guarda,17.0,58.5,0.9
2023-09-03,Guarda,17.6,64.6,0.5
2023-09-04,Guarda,16.4,61.5,1.6
2023-09-05,Guarda,16.0,58.2,0.6
2023-09-06,Guarda,15.9,72.3,5.8
2023-09-07,Guarda,17.2,69.3,0.7
2023-09-08,Guarda,20.3,67.1,1.3
2023-09-09,Guarda,18.0,62.2,0.3
2023-09-10,Guarda,18.8,67.5,0.8
2023-09-11,Guarda,15.7,69.9,1.2
2023-09-12,Guarda,17.5,63.6,0.8
2023-09-13,Guarda,14.1,53.9,1.2
2023-09-14,Guarda,14.4,63.1,1.0
2023-09-15,Guarda,19.2,68.6,4.2
2023-09-16,Guarda,17.0,61.5,0.5
2023-09-17,Guarda,13.4,48.9,0.5
2023-09-18,Guarda,12.9,58.7,1.0
2023-09-19,Guarda,17.4,51.9,0.8
2023-09-20,Guarda,16.5,67.7,2.4
2023-09-21,Guarda,13.5,68.4,2.2
2023-09-22,Guarda,15.1,67.4,0.9
2023-09-23,Guarda,18.7,64.3,0.7
2023-09-24,Guarda,14.9,51.4,0.8
2023-09-25,Guarda,12.7,67.8,4.3
2023-09-26,Guarda,8.8,56.9,0.7
2023-09-27,Guarda,13.8,65.0,2.4
2023-09-28,Guarda,13.0,68.8,1.3
2023-09-29,Guarda,8.0,68.1,0.8
2023-09-30,Guarda,14.7,69.5,1.2
2023-10-01,Guarda,15.5,70.0,13.5
2023-10-02,Guarda,10.2,68.2,2.0
2023-10-03,Guarda,11.2,71.0,2.8
2023-10-04,Guarda,12.6,69.7,5.3
2023-10-05,Guarda,14.3,61.5,1.8
2023-10-06,Guarda,9.9,64.7,0.7
2023-10-07,Guarda,12.3,74.6,2.9
2023-10-08,Guarda,9.1,64.8,0.4
2023-10-09,Guarda,13.5,69.8,4.3
2023-10-10,Guarda,11.8,80.1,0.9
2023-10-11,Guarda,10.4,75.2,0.5
2023-10-12,Guarda,12.5,83.1,2.8
2023-10-13,Guarda,12.6,78.4,1.4
2023-10-14,Guarda,6.9,73.2,9.4
2023-10-15,Guarda,10.2,69.2,11.9
2023-10-16,Guarda,11.6,78.2,6.0
2023-10-17,Guarda,12.1,65.0,2.5
2023-10-18,Guarda,10.5,80.1,8.1
2023-10-19,Guarda,5.4,80.8,7.6
2023-10-20,Guarda,10.9,79.1,6.0
2023-10-21,Guarda,12.0,70.7,3.7
2023-10-22,Guarda,7.9,68.2,14.2
2023-10-23,Guarda,10.5,77.7,2.8
2023-10-24,Guarda,10.2,67.8,4.7
2023-10-25,Guarda,13.2,77.1,1.4
2023-10-26,Guarda,7.2,76.1,2.4
2023-10-27,Guarda,7.2,91.6,3.2
2023-10-28,Guarda,7.6,78.1,1.5
2023-10-29,Guarda,8.7,74.7,1.9
2023-10-30,Guarda,7.8,72.0,1.6
2023-10-31,Guarda,13.4,84.8,12.0
2023-11-01,Guarda,12.1,77.3,6.5
2023-11-02,Guarda,7.5,80.9,4.5
2023-11-03,Guarda,7.9,82.2,3.8
2023-11-04,Guarda,6.3,78.1,2.7
2023-11-05,Guarda,6.4,83.0,4.0
2023-11-06,Guarda,12.3,80.1,7.6
2023-11-07,Guarda,6.8,69.6,3.6
2023-11-08,Guarda,8.1,79.4,2.4
2023-11-09,Guarda,4.6,87.1,2.1
2023-11-10,Guarda,8.4,78.4,2.1
2023-11-11,Guarda,7.0,77.7,8.3
2023-11-12,Guarda,6.9,83.9,3.0
2023-11-13,Guarda,7.2,82.3,1.9
2023-11-14,Guarda,8.8,88.9,0.9
2023-11-15,Guarda,5.7,84.7,3.7
2023-11-16,Guarda,5.9,89.5,10.0
2023-11-17,Guarda,6.5,79.6,3.0
2023-11-18,Guarda,4.4,77.9,2.2
2023-11-19,Guarda,8.1,86.7,1.5
2023-11-20,Guarda,2.7,79.6,2.6
2023-11-21,Guarda,6.2,79.0,2.0
2023-11-22,Guarda,9.0,75.7,14.3
2023-11-23,Guarda,6.4,83.9,2.2
2023-11-24,Guarda,7.0,78.6,8.5
2023-11-25,Guarda,4.4,84.1,5.7
2023-11-26,Guarda,5.3,78.6,7.2
2023-11-27,Guarda,3.6,74.0,9.3
2023-11-28,Guarda,6.0,90.1,4.7
2023-11-29,Guarda,3.1,93.9,0.9
2023-11-30,Guarda,6.1,79.4,4.8
2023-12-01,Guarda,4.7,85.8,5.2
2023-12-02,Guarda,2.9,82.7,0.6
2023-12-03,Guarda,5.4,76.4,0.9
2023-12-04,Guarda,1.5,84.9,1.3
2023-12-05,Guarda,6.1,88.3,3.7
2023-12-06,Guarda,7.9,83.4,3.9
2023-12-07,Guarda,2.6,90.7,4.9
2023-12-08,Guarda,3.4,93.2,2.4
2023-12-09,Guarda,3.4,92.9,0.8
2023-12-10,Guarda,11.0,88.6,1.4
2023-12-11,Guarda,0.8,82.8,5.4
2023-12-12,Guarda,0.3,72.9,2.6
2023-12-13,Guarda,6.4,84.9,3.0
2023-12-14,Guarda,3.8,79.7,1.3
2023-12-15,Guarda,7.4,76.2,2.3
2023-12-16,Guarda,5.9,76.5,6.5
2023-12-17,Guarda,3.9,94.1,1.0
2023-12-18,Guarda,6.4,84.8,2.6
2023-12-19,Guarda,4.2,84.1,2.1
2023-12-20,Guarda,6.3,80.8,0.9
2023-12-21,Guarda,4.1,89.4,1.0
2023-12-22,Guarda,3.4,72.4,7.1
2023-12-23,Guarda,6.5,85.8,2.4
2023-12-24,Guarda,4.8,80.1,3.8
2023-12-25,Guarda,2.0,85.3,4.8
2023-12-26,Guarda,2.2,82.6,2.0
2023-12-27,Guarda,0.4,69.2,5.4
2023-12-28,Guarda,6.1,80.0,4.0
2023-12-29,Guarda,4.1,83.6,1.9
2023-12-30,Guarda,5.7,94.2,10.2
2023-12-31,Guarda,2.4,79.1,2.5
2024-01-01,Guarda,1.8,72.6,3.1
2024-01-02,Guarda,3.2,82.3,1.0
2024-01-03,Guarda,6.3,90.5,2.1
2024-01-04,Guarda,2.2,85.0,0.4
2024-01-05,Guarda,3.3,86.4,0.3
2024-01-06,Guarda,-0.1,90.1,2.5
2024-01-07,Guarda,4.2,86.2,2.1
2024-01-08,Guarda,3.9,85.7,4.3
2024-01-09,Guarda,7.8,70.4,2.6
2024-01-10,Guarda,6.9,80.6,4.4
2024-01-11,Guarda,0.8,97.4,3.1
2024-01-12,Guarda,4.7,75.3,2.2
2024-01-13,Guarda,2.5,79.7,7.2
2024-01-14,Guarda,5.7,82.4,5.8
2024-01-15,Guarda,2.7,85.4,2.2
2024-01-16,Guarda,4.0,91.2,8.1
2024-01-17,Guarda,0.5,77.4,6.2
2024-01-18,Guarda,2.8,71.9,3.3
2024-01-19,Guarda,6.2,85.7,4.9
2024-01-20,Guarda,3.2,88.8,1.7
2024-01-21,Guarda,6.4,78.0,6.9
2024-01-22,Guarda,4.0,91.5,0.6
2024-01-23,Guarda,3.3,83.0,3.4
2024-01-24,Guarda,3.1,79.1,1.0
2024-01-25,Guarda,3.8,89.7,6.7
2024-01-26,Guarda,4.6,82.9,4.8
2024-01-27,Guarda,1.5,68.7,9.3
2024-01-28,Guarda,5.5,79.6,3.4
2024-01-29,Guarda,5.9,82.6,18.7
2024-01-30,Guarda,8.1,70.6,6.7
2024-01-31,Guarda,5.8,82.9,10.5
2024-02-01,Guarda,3.6,76.5,5.8
2024-02-02,Guarda,2.0,84.2,0.9
2024-02-03,Guarda,3.7,78.5,1.7
2024-02-04,Guarda,6.5,89.2,20.0
2024-02-05,Guarda,9.0,75.3,7.8
2024-02-06,Guarda,5.7,83.8,5.3
2024-02-07,Guarda,4.0,84.2,2.0
2024-02-08,Guarda,5.8,78.9,3.4
2024-02-09,Guarda,7.1,74.2,2.0
2024-02-10,Guarda,5.0,76.7,0.5
2024-02-11,Guarda,7.0,65.4,0.9
2024-02-12,Guarda,8.1,65.7,2.7
2024-02-13,Guarda,6.9,75.8,4.0
2024-02-14,Guarda,6.3,63.0,7.3
2024-02-15,Guarda,6.6,64.7,2.2
2024-02-16,Guarda,4.1,77.4,1.7
2024-02-17,Guarda,8.5,80.0,1.8
2024-02-18,Guarda,6.0,76.2,4.8
2024-02-19,Guarda,10.3,81.9,6.8
2024-02-20,Guarda,6.3,77.2,3.5
2024-02-21,Guarda,4.3,73.1,10.0
2024-02-22,Guarda,10.9,98.1,1.8
2024-02-23,Guarda,7.0,84.7,7.8
2024-02-24,Guarda,7.7,80.2,1.4
2024-02-25,Guarda,7.8,68.5,5.1
2024-02-26,Guarda,6.4,78.2,4.1
2024-02-27,Guarda,12.2,87.1,1.4
2024-02-28,Guarda,12.1,75.0,3.1
2024-02-29,Guarda,7.0,71.9,8.2
2024-03-01,Guarda,7.3,69.0,1.3
2024-03-02,Guarda,10.7,69.2,6.1
2024-03-03,Guarda,9.1,82.2,5.9
2024-03-04,Guarda,6.5,73.2,4.0
2024-03-05,Guarda,9.2,86.5,1.4
2024-03-06,Guarda,8.5,68.6,7.4
2024-03-07,Guarda,8.2,82.1,2.2
2024-03-08,Guarda,14.3,74.4,7.4
2024-03-09,Guarda,10.5,73.3,6.1
2024-03-10,Guarda,9.7,70.0,10.5
2024-03-11,Guarda,12.6,75.0,11.2
2024-03-12,Guarda,8.2,78.9,0.8
2024-03-13,Guarda,13.6,60.1,4.2
2024-03-14,Guarda,10.3,65.9,2.3
2024-03-15,Guarda,10.7,70.2,1.8
2024-03-16,Guarda,14.1,74.2,8.3
2024-03-17,Guarda,9.5,73.6,1.9
2024-03-18,Guarda,11.7,64.0,4.5
2024-03-19,Guarda,11.5,60.1,5.2
2024-03-20,Guarda,10.2,78.8,2.1
2024-03-21,Guarda,11.0,74.2,6.8
2024-03-22,Guarda,10.5,78.8,1.1
2024-03-23,Guarda,11.4,77.5,0.8
2024-03-24,Guarda,11.8,66.8,7.1
2024-03-25,Guarda,17.1,68.4,3.4
2024-03-26,Guarda,12.6,77.7,0.2
2024-03-27,Guarda,13.2,76.7,5.6
2024-03-28,Guarda,14.8,72.2,0.1
2024-03-29,Guarda,10.8,70.8,3.5
2024-03-30,Guarda,10.4,54.8,1.0
2024-03-31,Guarda,9.8,61.9,4.2
2024-04-01,Guarda,11.9,68.4,1.2
2024-04-02,Guarda,13.6,70.3,0.2
2024-04-03,Guarda,11.8,68.2,1.7
2024-04-04,Guarda,15.6,72.6,2.0
2024-04-05,Guarda,16.2,69.5,0.1
2024-04-06,Guarda,13.4,65.9,1.3
2024-04-07,Guarda,18.5,65.5,0.9
2024-04-08,Guarda,12.0,65.1,1.0
2024-04-09,Guarda,18.0,64.9,0.9
2024-04-10,Guarda,14.1,69.3,0.2
2024-04-11,Guarda,14.9,63.6,0.4
2024-04-12,Guarda,15.3,60.0,0.6
2024-04-13,Guarda,12.7,60.5,1.5
2024-04-14,Guarda,14.1,58.2,0.3
2024-04-15,Guarda,19.7,68.2,0.2
2024-04-16,Guarda,13.7,63.9,0.5
2024-04-17,Guarda,13.1,65.9,0.5
2024-04-18,Guarda,16.4,72.3,1.7
2024-04-19,Guarda,22.3,67.1,0.5
2024-04-20,Guarda,17.4,67.1,1.4
2024-04-21,Guarda,18.1,56.8,4.2
2024-04-22,Guarda,18.1,62.8,1.0
2024-04-23,Guarda,16.0,47.0,0.1
2024-04-24,Guarda,16.6,60.6,1.4
2024-04-25,Guarda,16.7,62.4,1.0
2024-04-26,Guarda,17.8,69.0,1.3
2024-04-27,Guarda,22.9,54.9,1.8
2024-04-28,Guarda,21.6,63.8,1.6
2024-04-29,Guarda,14.9,54.8,0.7
2024-04-30,Guarda,17.9,59.2,2.7
2024-05-01,Guarda,14.7,42.9,2.4
2024-05-02,Guarda,19.8,59.4,2.2
2024-05-03,Guarda,18.7,61.8,1.3
2024-05-04,Guarda,14.4,59.3,1.1
2024-05-05,Guarda,17.2,55.8,3.0
2024-05-06,Guarda,23.6,63.0,0.7
2024-05-07,Guarda,18.6,68.5,0.2
2024-05-08,Guarda,19.2,64.8,1.2
2024-05-09,Guarda,19.7,48.4,1.2
2024-05-10,Guarda,19.1,49.3,0.7
2024-05-11,Guarda,22.8,44.6,1.3
2024-05-12,Guarda,20.0,62.2,0.8
2024-05-13,Guarda,21.5,56.8,0.2
2024-05-14,Guarda,20.0,67.7,1.9
2024-05-15,Guarda,17.7,64.5,4.1
2024-05-16,Guarda,19.6,49.9,0.4
2024-05-17,Guarda,19.8,54.8,1.3
2024-05-18,Guarda,19.2,50.3,1.1
2024-05-19,Guarda,20.0,54.9,1.1
2024-05-20,Guarda,21.2,54.6,1.1
2024-05-21,Guarda,17.2,53.8,2.7
2024-05-22,Guarda,20.3,49.9,0.3
2024-05-23,Guarda,21.6,57.6,3.4
2024-05-24,Guarda,20.6,44.2,1.1
2024-05-25,Guarda,18.0,61.8,2.8
2024-05-26,Guarda,21.4,66.8,1.2
2024-05-27,Guarda,16.6,59.7,1.5
2024-05-28,Guarda,18.4,59.7,0.7
2024-05-29,Guarda,21.3,55.7,0.8
2024-05-30,Guarda,22.5,58.9,0.6
2024-05-31,Guarda,22.2,57.7,1.0
2024-06-01,Guarda,16.8,56.6,3.2
2024-06-02,Guarda,21.1,50.6,1.4
2024-06-03,Guarda,23.9,48.6,0.6
2024-06-04,Guarda,25.1,53.2,0.5
2024-06-05,Guarda,19.1,58.1,1.5
2024-06-06,Guarda,19.9,67.3,3.1
2024-06-07,Guarda,26.1,52.1,0.4
2024-06-08,Guarda,19.2,46.9,0.3
2024-06-09,Guarda,17.0,44.0,0.5
2024-06-10,Guarda,23.8,54.0,1.5
2024-06-11,Guarda,21.0,60.8,1.4
2024-06-12,Guarda,17.8,57.4,0.2
2024-06-13,Guarda,21.8,44.2,1.2
2024-06-14,Guarda,22.1,54.6,0.5
2024-06-15,Guarda,20.2,46.0,1.7
2024-06-16,Guarda,23.1,52.0,0.1
2024-06-17,Guarda,17.5,57.5,4.3
2024-06-18,Guarda,22.4,56.0,1.1
2024-06-19,Guarda,20.0,46.5,0.7
2024-06-20,Guarda,20.6,56.3,2.2
2024-06-21,Guarda,24.1,63.1,1.2
2024-06-22,Guarda,22.2,50.8,1.4
2024-06-23,Guarda,22.2,51.1,1.7
2024-06-24,Guarda,25.1,62.5,0.9
2024-06-25,Guarda,20.1,55.2,1.1
2024-06-26,Guarda,20.8,63.1,0.3
2024-06-27,Guarda,24.7,51.0,1.0
2024-06-28,Guarda,21.3,55.7,1.2
2024-06-29,Guarda,21.0,55.5,2.6
2024-06-30,Guarda,26.6,56.4,0.6
2024-07-01,Guarda,21.7,50.1,1.3
2024-07-02,Guarda,19.4,60.6,0.1
2024-07-03,Guarda,24.5,57.3,0.7
2024-07-04,Guarda,21.0,39.0,1.4
2024-07-05,Guarda,20.1,57.4,0.6
2024-07-06,Guarda,19.4,59.1,0.1
2024-07-07,Guarda,20.9,63.8,0.4
2024-07-08,Guarda,19.8,40.6,1.0
2024-07-09,Guarda,23.6,61.3,1.8
2024-07-10,Guarda,23.6,53.8,0.5
2024-07-11,Guarda,21.7,63.2,0.6
2024-07-12,Guarda,20.3,66.6,0.5
2024-07-13,Guarda,19.5,56.9,1.2
2024-07-14,Guarda,24.2,54.0,0.5
2024-07-15,Guarda,20.3,37.6,1.6
2024-07-16,Guarda,17.2,48.1,1.0
2024-07-17,Guarda,19.9,57.7,0.7
2024-07-18,Guarda,21.9,56.2,1.0
2024-07-19,Guarda,23.6,45.6,0.1
2024-07-20,Guarda,23.3,49.8,1.1
2024-07-21,Guarda,23.8,58.5,1.0
2024-07-22,Guarda,18.3,44.6,0.8
2024-07-23,Guarda,22.6,51.6,1.8
2024-07-24,Guarda,21.1,56.4,0.8
2024-07-25,Guarda,21.6,66.2,2.0
2024-07-26,Guarda,20.1,48.1,1.3
2024-07-27,Guarda,24.9,37.4,5.1
2024-07-28,Guarda,23.0,42.5,0.8
2024-07-29,Guarda,18.4,34.6,1.3
2024-07-30,Guarda,24.0,53.8,0.9
2024-07-31,Guarda,23.1,50.1,2.0
2024-08-01,Guarda,20.7,59.8,1.9
2024-08-02,Guarda,18.3,42.2,0.8
2024-08-03,Guarda,21.5,57.1,0.9
