date,region,category,units,revenue,cost,profit
2025-01-15,Lisbon,Sports,2,179.34,133.39,45.95
2025-01-16,Faro,Electronics,5,1306.49,925.89,380.6
2025-01-16,Lisbon,Fashion,4,216.32,166.42,49.9
2025-01-16,Lisbon,Books,6,181.87,131.58,50.29
2025-01-16,Braga,Books,7,155.26,104.56,50.71
2025-01-16,Lisbon,Books,1,23.72,15.82,7.9
2025-01-16,Coimbra,Electronics,4,946.96,680.5,266.46
2025-01-16,Faro,Fashion,6,463.34,313.17,150.17
2025-01-16,Faro,Electronics,6,798.07,433.2,364.88
2025-01-16,Coimbra,Electronics,5,1332.81,961.39,371.42
2025-01-17,Braga,Sports,3,238.1,171.02,67.08
2025-01-17,Porto,Sports,6,433.4,243.13,190.27
2025-01-17,Faro,Home Office,2,299.99,190.15,109.84
2025-01-17,Porto,Sports,1,61.06,46.61,14.45
2025-01-17,Porto,Sports,6,544.99,336.73,208.27
2025-01-18,Lisbon,Books,6,159.78,88.01,71.77
2025-01-18,Faro,Home Office,7,419.26,282.14,137.12
2025-01-18,Lisbon,Sports,5,385.11,245.75,139.36
2025-01-18,Faro,Sports,4,179.9,114.24,65.66
2025-01-18,Lisbon,Home Office,3,407.18,294.44,112.73
2025-01-18,Lisbon,Fashion,3,167.24,99.31,67.93
2025-01-18,Braga,Books,6,155.16,120.99,34.17
2025-01-19,Lisbon,Sports,5,446.26,336.14,110.12
2025-01-19,Lisbon,Books,2,42.02,30.34,11.68
2025-01-19,Faro,Home Office,2,216.38,149.44,66.94
2025-01-19,Lisbon,Books,1,26.56,18.0,8.57
2025-01-20,Faro,Books,7,64.16,34.32,29.84
2025-01-20,Braga,Home Office,6,668.72,481.98,186.74
2025-01-20,Braga,Books,6,129.72,71.67,58.05
2025-01-20,Braga,Books,4,117.78,80.54,37.24
2025-01-21,Coimbra,Books,2,27.71,15.8,11.91
2025-01-21,Porto,Electronics,1,314.64,213.64,101.0
2025-01-21,Coimbra,Sports,1,55.49,29.47,26.02
2025-01-21,Faro,Home Office,4,591.4,321.63,269.77
2025-01-22,Lisbon,Sports,3,188.2,136.23,51.97
2025-01-22,Porto,Books,5,119.04,66.39,52.65
2025-01-22,Faro,Home Office,4,302.78,212.53,90.25
2025-01-22,Porto,Home Office,5,767.19,428.55,338.64
2025-01-22,Coimbra,Fashion,5,409.13,225.43,183.7
2025-01-22,Faro,Fashion,1,57.2,34.28,22.93
2025-01-22,Coimbra,Sports,6,447.09,280.36,166.73
2025-01-22,Lisbon,Sports,3,135.59,91.24,44.34
2025-01-23,Faro,Home Office,1,111.2,71.53,39.67
2025-01-23,Porto,Electronics,1,239.12,167.99,71.13
2025-01-23,Coimbra,Fashion,5,287.74,173.28,114.46
2025-01-23,Braga,Home Office,3,257.23,175.62,81.6
2025-01-23,Coimbra,Fashion,3,174.2,123.95,50.25
2025-01-23,Faro,Fashion,1,54.22,35.53,18.69
2025-01-23,Porto,Books,6,146.2,107.85,38.35
2025-01-24,Lisbon,Fashion,1,64.15,47.4,16.75
2025-01-24,Lisbon,Books,1,24.5,13.84,10.66
2025-01-24,Braga,Home Office,3,195.17,102.24,92.94
2025-01-24,Faro,Fashion,5,368.77,206.49,162.28
2025-01-24,Porto,Books,5,68.68,42.23,26.45
2025-01-24,Faro,Fashion,1,60.98,36.64,24.34
2025-01-25,Braga,Sports,2,138.85,95.34,43.51
2025-01-25,Porto,Sports,1,89.83,58.97,30.85
2025-01-25,Lisbon,Fashion,5,336.72,261.69,75.03
2025-01-25,Faro,Electronics,4,684.71,532.35,152.36
2025-01-25,Lisbon,Sports,4,266.81,144.29,122.52
2025-01-25,Faro,Fashion,6,351.3,225.55,125.76
2025-01-25,Lisbon,Books,3,58.6,31.15,27.45
2025-01-25,Braga,Electronics,2,510.12,330.28,179.84
2025-01-25,Coimbra,Books,6,106.04,61.86,44.18
2025-01-26,Faro,Books,6,126.09,87.54,38.55
2025-01-26,Braga,Sports,6,472.88,290.97,181.91
2025-01-26,Coimbra,Sports,7,575.54,371.49,204.05
2025-01-26,Coimbra,Home Office,6,1086.31,707.46,378.86
2025-01-26,Faro,Fashion,3,122.42,74.5,47.92
2025-01-26,Coimbra,Fashion,4,191.74,104.94,86.8
2025-01-27,Faro,Home Office,7,850.74,481.65,369.09
2025-01-27,Porto,Electronics,3,633.66,482.3,151.36
2025-01-27,Braga,Electronics,4,921.35,622.47,298.88
2025-01-27,Lisbon,Fashion,3,127.89,87.57,40.31
2025-01-28,Faro,Sports,6,590.39,423.89,166.51
2025-01-28,Braga,Sports,7,208.7,160.79,47.91
2025-01-28,Braga,Sports,4,353.58,251.19,102.39
2025-01-28,Faro,Books,4,69.58,48.01,21.56
2025-01-28,Faro,Fashion,1,58.42,41.53,16.9
2025-01-29,Braga,Books,5,64.58,34.27,30.31
2025-01-29,Coimbra,Home Office,6,626.29,486.15,140.14
2025-01-29,Coimbra,Books,3,74.5,54.12,20.39
2025-01-29,Braga,Books,1,18.55,13.51,5.04
2025-01-29,Faro,Home Office,4,533.77,329.29,204.49
2025-01-29,Faro,Books,1,16.31,11.35,4.97
2025-01-29,Braga,Sports,5,299.38,213.24,86.15
2025-01-29,Porto,Sports,6,477.19,277.23,199.95
2025-01-29,Braga,Electronics,2,443.53,289.98,153.55
2025-01-30,Braga,Home Office,4,415.99,313.18,102.8
2025-01-30,Braga,Electronics,5,813.84,603.64,210.2
2025-01-30,Porto,Fashion,6,296.57,199.73,96.83
2025-01-30,Coimbra,Books,3,61.28,45.99,15.29
2025-01-30,Lisbon,Books,5,124.42,87.92,36.51
2025-01-30,Coimbra,Electronics,6,1997.39,1192.55,804.84
2025-01-30,Coimbra,Sports,4,346.14,269.77,76.37
2025-01-30,Faro,Electronics,5,624.07,388.18,235.89
2025-01-30,Faro,Fashion,2,105.21,64.7,40.51
2025-01-31,Lisbon,Electronics,3,712.7,454.6,258.1
2025-01-31,Faro,Home Office,5,781.88,492.04,289.84
2025-01-31,Faro,Books,7,119.26,70.84,48.42
2025-01-31,Porto,Sports,7,301.13,182.06,119.07
2025-01-31,Faro,Books,3,24.0,16.17,7.83
2025-01-31,Braga,Fashion,5,225.92,131.66,94.26
2025-02-01,Lisbon,Home Office,2,382.96,255.04,127.91
2025-02-01,Braga,Home Office,5,722.52,465.18,257.34
2025-02-01,Faro,Sports,7,456.58,334.13,122.45
2025-02-01,Faro,Sports,2,132.03,87.96,44.08
2025-02-01,Porto,Sports,1,66.4,51.02,15.38
2025-02-02,Faro,Fashion,4,272.36,209.59,62.77
2025-02-02,Lisbon,Sports,3,94.48,50.74,43.74
2025-02-02,Faro,Electronics,4,835.76,502.51,333.24
2025-02-02,Lisbon,Electronics,6,1301.21,697.1,604.1
2025-02-02,Faro,Electronics,5,849.59,508.51,341.08
2025-02-02,Porto,Fashion,2,109.62,60.2,49.43
2025-02-02,Coimbra,Fashion,7,383.84,250.31,133.53
2025-02-02,Coimbra,Home Office,1,140.57,101.63,38.95
2025-02-03,Faro,Fashion,4,282.04,164.44,117.6
2025-02-03,Faro,Home Office,4,369.25,213.93,155.33
2025-02-03,Porto,Sports,2,107.24,68.61,38.63
2025-02-03,Faro,Books,5,111.6,59.41,52.19
2025-02-03,Lisbon,Home Office,1,124.74,70.97,53.77
2025-02-04,Lisbon,Books,2,19.28,11.24,8.04
2025-02-04,Lisbon,Electronics,4,655.46,485.6,169.86
2025-02-04,Lisbon,Fashion,2,159.43,89.65,69.78
2025-02-04,Faro,Books,6,102.53,60.09,42.43
2025-02-04,Faro,Home Office,4,725.85,563.27,162.58
2025-02-04,Lisbon,Fashion,3,127.01,76.56,50.45
2025-02-04,Braga,Fashion,1,72.18,45.31,26.88
2025-02-04,Braga,Sports,3,260.83,137.65,123.17
2025-02-04,Porto,Sports,3,193.71,137.26,56.46
2025-02-05,Braga,Books,3,88.43,66.44,21.98
2025-02-05,Lisbon,Sports,5,376.13,209.64,166.49
2025-02-05,Braga,Sports,1,76.13,59.22,16.91
2025-02-05,Porto,Electronics,1,215.61,167.79,47.82
2025-02-06,Porto,Fashion,1,58.42,43.75,14.67
2025-02-06,Coimbra,Fashion,2,105.85,56.43,49.42
2025-02-06,Coimbra,Sports,5,422.93,292.89,130.03
2025-02-06,Faro,Books,2,54.95,31.88,23.07
2025-02-06,Faro,Electronics,7,1554.98,1055.52,499.46
2025-02-06,Coimbra,Electronics,4,963.44,682.79,280.65
2025-02-06,Braga,Home Office,4,464.13,360.02,104.11
2025-02-07,Faro,Fashion,4,208.89,151.85,57.03
2025-02-07,Coimbra,Home Office,3,303.47,228.0,75.47
2025-02-07,Braga,Fashion,3,175.07,97.84,77.23
2025-02-07,Faro,Home Office,2,326.27,242.53,83.74
2025-02-08,Faro,Books,2,20.72,14.72,5.99
2025-02-08,Braga,Home Office,7,846.49,553.97,292.53
2025-02-08,Braga,Electronics,5,1208.88,807.75,401.13
2025-02-08,Coimbra,Sports,1,67.88,50.57,17.31
2025-02-08,Braga,Books,4,119.4,85.18,34.23
2025-02-09,Lisbon,Fashion,2,110.98,78.46,32.51
2025-02-09,Faro,Books,7,159.05,95.9,63.15
2025-02-09,Braga,Home Office,4,395.13,267.29,127.84
2025-02-09,Coimbra,Fashion,7,337.86,192.97,144.89
2025-02-10,Porto,Home Office,3,361.26,203.15,158.11
2025-02-10,Braga,Home Office,1,140.0,81.67,58.33
2025-02-10,Lisbon,Home Office,1,118.25,88.58,29.67
2025-02-10,Porto,Home Office,4,318.94,209.14,109.8
2025-02-10,Lisbon,Home Office,4,474.41,252.26,222.14
2025-02-10,Coimbra,Electronics,1,223.47,144.99,78.47
2025-02-11,Lisbon,Books,2,41.57,29.88,11.69
2025-02-11,Porto,Home Office,7,887.37,688.59,198.78
2025-02-11,Faro,Sports,3,163.5,90.88,72.62
2025-02-11,Faro,Books,3,58.88,32.1,26.78
2025-02-11,Faro,Books,6,113.59,63.95,49.64
2025-02-11,Lisbon,Sports,2,138.31,102.56,35.75
2025-02-11,Coimbra,Home Office,4,537.47,331.36,206.1
2025-02-11,Faro,Sports,3,230.77,166.34,64.43
2025-02-11,Porto,Electronics,5,1666.58,1254.92,411.66
2025-02-12,Lisbon,Sports,3,164.46,93.19,71.27
2025-02-12,Braga,Home Office,3,410.0,239.35,170.66
2025-02-12,Braga,Books,1,29.9,19.67,10.23
2025-02-12,Braga,Books,2,23.31,13.1,10.21
2025-02-12,Faro,Electronics,1,188.57,123.44,65.13
2025-02-12,Porto,Books,4,84.27,55.57,28.69
2025-02-12,Coimbra,Books,3,66.1,50.74,15.36
2025-02-12,Lisbon,Electronics,4,1242.43,698.9,543.52
2025-02-12,Coimbra,Home Office,7,821.55,433.62,387.92
2025-02-13,Lisbon,Home Office,2,293.18,198.81,94.37
2025-02-13,Lisbon,Books,4,94.37,62.12,32.25
2025-02-13,Lisbon,Sports,6,493.07,351.47,141.6
2025-02-13,Porto,Books,4,97.94,74.37,23.57
2025-02-13,Porto,Sports,4,402.79,292.65,110.14
2025-02-14,Braga,Sports,1,82.65,47.53,35.12
2025-02-14,Porto,Sports,7,393.44,269.96,123.48
2025-02-14,Lisbon,Sports,4,280.81,150.55,130.26
2025-02-14,Porto,Books,4,88.76,49.67,39.09
2025-02-15,Coimbra,Sports,3,259.7,156.59,103.1
2025-02-15,Braga,Fashion,6,295.98,200.06,95.92
2025-02-15,Lisbon,Fashion,4,245.49,149.53,95.96
2025-02-15,Lisbon,Fashion,1,60.15,31.91,28.24
2025-02-15,Faro,Sports,4,324.83,232.22,92.61
2025-02-15,Faro,Home Office,4,422.07,252.67,169.4
2025-02-15,Porto,Fashion,7,557.71,397.1,160.61
2025-02-15,Coimbra,Home Office,7,1001.03,653.0,348.04
2025-02-16,Faro,Sports,3,221.67,135.0,86.67
2025-02-16,Braga,Fashion,3,191.15,105.65,85.5
2025-02-16,Lisbon,Books,3,59.82,41.41,18.4
2025-02-16,Porto,Sports,1,51.85,29.63,22.22
2025-02-16,Braga,Electronics,7,1137.66,789.13,348.53
2025-02-16,Lisbon,Books,1,20.49,11.4,9.1
2025-02-16,Porto,Home Office,2,258.96,148.3,110.67
2025-02-17,Coimbra,Books,4,79.98,54.28,25.71
2025-02-17,Braga,Sports,2,149.83,90.39,59.43
2025-02-17,Faro,Sports,4,262.47,138.07,124.4
2025-02-17,Coimbra,Home Office,3,359.87,244.23,115.64
2025-02-17,Coimbra,Home Office,2,280.64,169.45,111.2
2025-02-17,Faro,Books,4,103.37,70.74,32.63
2025-02-17,Porto,Books,6,114.26,86.86,27.4
2025-02-17,Porto,Home Office,6,798.75,570.07,228.68
2025-02-18,Porto,Sports,6,725.08,463.09,261.99
2025-02-18,Porto,Sports,5,413.55,242.76,170.78
2025-02-18,Coimbra,Sports,5,360.59,208.03,152.57
2025-02-18,Faro,Sports,3,188.75,98.52,90.23
2025-02-18,Lisbon,Books,3,73.51,54.26,19.25
2025-02-18,Lisbon,Home Office,5,432.81,268.95,163.85
2025-02-18,Coimbra,Sports,7,405.18,226.92,178.27
2025-02-18,Coimbra,Electronics,3,563.21,436.5,126.72
2025-02-18,Braga,Sports,1,72.16,52.36,19.8
2025-02-19,Coimbra,Home Office,7,754.25,414.14,340.11
2025-02-19,Faro,Sports,5,349.06,231.62,117.43
2025-02-19,Porto,Electronics,4,1054.89,727.55,327.33
2025-02-19,Faro,Electronics,1,216.31,117.84,98.48
2025-02-19,Braga,Books,6,164.13,98.93,65.2
2025-02-20,Lisbon,Fashion,3,189.68,131.79,57.89
2025-02-20,Porto,Sports,3,148.74,109.1,39.64
2025-02-20,Faro,Sports,3,272.26,194.58,77.68
2025-02-20,Faro,Sports,2,140.98,78.59,62.4
2025-02-20,Coimbra,Fashion,7,494.12,276.66,217.45
2025-02-21,Porto,Fashion,1,61.19,31.83,29.36
2025-02-21,Coimbra,Electronics,6,1259.22,868.34,390.88
2025-02-21,Braga,Sports,6,438.92,245.0,193.92
2025-02-21,Faro,Electronics,2,411.06,301.31,109.76
2025-02-21,Lisbon,Books,1,21.09,15.01,6.08
2025-02-22,Porto,Home Office,6,704.02,503.42,200.6
2025-02-22,Coimbra,Sports,3,112.41,64.55,47.87
2025-02-22,Braga,Home Office,6,844.22,457.87,386.35
2025-02-22,Lisbon,Home Office,2,301.81,188.21,113.6
2025-02-22,Braga,Electronics,7,1644.97,1134.9,510.07
2025-02-22,Coimbra,Electronics,7,1540.52,1191.83,348.69
2025-02-22,Faro,Home Office,7,542.29,313.12,229.17
2025-02-23,Faro,Sports,3,140.21,93.56,46.65
2025-02-23,Coimbra,Sports,3,326.35,171.96,154.39
2025-02-23,Coimbra,Books,1,15.68,10.14,5.54
2025-02-23,Porto,Sports,3,220.23,161.85,58.38
2025-02-23,Porto,Fashion,4,228.17,134.71,93.46
2025-02-23,Coimbra,Electronics,2,534.02,371.64,162.38
2025-02-24,Lisbon,Books,3,43.29,32.58,10.71
2025-02-24,Braga,Electronics,5,1268.57,953.29,315.28
2025-02-24,Coimbra,Electronics,6,1235.3,661.46,573.84
2025-02-24,Porto,Fashion,2,163.91,93.57,70.35
2025-02-24,Braga,Home Office,1,88.25,50.64,37.61
2025-02-25,Coimbra,Electronics,4,857.47,637.68,219.79
2025-02-25,Lisbon,Electronics,3,542.46,289.88,252.59
2025-02-25,Porto,Fashion,3,201.58,115.59,85.99
2025-02-25,Faro,Home Office,7,690.15,376.79,313.36
2025-02-25,Lisbon,Sports,1,32.82,18.11,14.71
2025-02-26,Faro,Electronics,7,2036.87,1337.76,699.1
2025-02-26,Lisbon,Sports,7,406.76,253.95,152.81
2025-02-26,Porto,Electronics,4,1003.1,731.87,271.23
2025-02-26,Faro,Books,2,31.65,20.56,11.09
2025-02-27,Porto,Fashion,7,393.33,245.18,148.14
2025-02-27,Coimbra,Sports,4,342.79,195.47,147.32
2025-02-27,Faro,Electronics,1,290.23,195.39,94.84
2025-02-27,Porto,Fashion,5,346.84,237.45,109.39
2025-02-27,Porto,Fashion,7,211.01,131.2,79.81
2025-02-27,Porto,Sports,2,206.88,132.42,74.46
2025-02-27,Porto,Fashion,5,225.13,135.84,89.29
2025-02-28,Lisbon,Home Office,3,516.57,290.92,225.65
2025-02-28,Braga,Fashion,7,461.59,307.56,154.04
2025-02-28,Braga,Home Office,6,699.21,513.9,185.31
2025-02-28,Faro,Books,2,50.53,26.97,23.56
2025-02-28,Braga,Fashion,7,348.91,265.25,83.66
2025-02-28,Coimbra,Books,7,130.91,91.23,39.68
2025-02-28,Faro,Electronics,4,832.03,593.49,238.54
2025-02-28,Faro,Electronics,2,527.54,275.07,252.47
2025-02-28,Coimbra,Fashion,6,220.57,165.09,55.48
2025-03-01,Faro,Home Office,4,500.36,281.08,219.28
2025-03-01,Braga,Fashion,2,117.09,90.27,26.81
2025-03-01,Lisbon,Fashion,7,321.34,182.77,138.57
2025-03-01,Coimbra,Books,7,73.75,53.9,19.85
2025-03-01,Coimbra,Books,4,82.48,63.95,18.53
2025-03-01,Braga,Sports,7,160.39,100.82,59.57
2025-03-01,Lisbon,Fashion,1,66.06,48.74,17.32
2025-03-01,Porto,Electronics,5,1604.96,844.58,760.38
2025-03-01,Faro,Home Office,4,301.79,211.08,90.71
2025-03-02,Braga,Electronics,5,1093.88,744.79,349.1
2025-03-02,Lisbon,Electronics,5,1180.56,679.68,500.88
2025-03-02,Coimbra,Fashion,1,65.2,39.74,25.46
2025-03-02,Lisbon,Electronics,4,939.42,686.09,253.33
2025-03-02,Coimbra,Books,7,172.04,118.61,53.43
2025-03-02,Faro,Books,7,123.28,77.92,45.36
2025-03-02,Porto,Sports,1,65.12,50.69,14.44
2025-03-03,Braga,Books,1,17.97,10.76,7.22
2025-03-03,Faro,Fashion,3,188.19,138.84,49.35
2025-03-03,Faro,Electronics,1,259.7,191.41,68.3
2025-03-03,Lisbon,Books,6,115.27,76.94,38.32
2025-03-03,Braga,Fashion,3,149.42,80.15,69.27
2025-03-03,Faro,Electronics,3,597.35,355.05,242.3
2025-03-04,Faro,Electronics,2,577.02,406.24,170.78
2025-03-04,Coimbra,Electronics,6,1593.61,1177.61,416.0
2025-03-04,Faro,Home Office,5,654.68,433.32,221.36
2025-03-04,Porto,Electronics,4,944.07,729.45,214.62
2025-03-04,Braga,Fashion,6,303.81,188.5,115.31
2025-03-05,Porto,Home Office,2,314.93,170.1,144.82
2025-03-05,Coimbra,Home Office,6,555.15,423.01,132.14
2025-03-05,Braga,Books,1,24.54,14.08,10.47
2025-03-05,Porto,Electronics,7,1772.02,1159.07,612.95
2025-03-05,Faro,Sports,7,680.21,362.39,317.81
2025-03-05,Porto,Books,2,38.59,22.03,16.57
2025-03-06,Porto,Fashion,7,447.73,305.69,142.04
2025-03-06,Porto,Sports,4,467.23,347.93,119.3
2025-03-06,Braga,Books,7,206.66,112.33,94.33
2025-03-06,Porto,Fashion,3,205.06,126.8,78.26
2025-03-07,Braga,Home Office,1,131.72,79.48,52.24
2025-03-07,Lisbon,Fashion,5,212.34,134.42,77.92
2025-03-07,Porto,Books,6,156.6,119.57,37.03
2025-03-07,Braga,Sports,2,117.44,76.27,41.18
2025-03-07,Coimbra,Fashion,1,48.95,38.12,10.84
2025-03-07,Lisbon,Fashion,4,281.65,177.34,104.31
2025-03-08,Braga,Electronics,5,1495.64,1025.68,469.96
2025-03-08,Lisbon,Sports,5,517.17,389.51,127.66
2025-03-08,Porto,Books,4,80.84,59.32,21.52
2025-03-08,Braga,Sports,6,615.06,421.85,193.21
2025-03-08,Lisbon,Sports,6,460.21,280.91,179.3
2025-03-08,Braga,Fashion,6,270.22,166.57,103.65
2025-03-08,Coimbra,Sports,3,280.61,182.81,97.79
2025-03-08,Braga,Electronics,4,566.03,404.01,162.02
2025-03-08,Porto,Fashion,1,70.47,48.13,22.34
2025-03-09,Porto,Sports,7,503.63,276.39,227.24
2025-03-09,Faro,Electronics,6,1882.93,1121.75,761.18
2025-03-09,Porto,Electronics,4,905.21,649.71,255.5
2025-03-09,Braga,Electronics,6,1609.76,1037.31,572.45
2025-03-10,Lisbon,Books,3,55.83,30.88,24.95
2025-03-10,Braga,Home Office,4,351.4,189.11,162.28
2025-03-10,Coimbra,Fashion,2,78.37,57.36,21.01
2025-03-10,Porto,Sports,4,257.53,150.03,107.49
2025-03-10,Porto,Home Office,2,227.3,141.36,85.93
2025-03-11,Porto,Sports,7,787.17,465.16,322.01
2025-03-11,Porto,Sports,1,85.28,51.06,34.22
2025-03-11,Porto,Books,7,162.1,123.49,38.61
2025-03-11,Porto,Home Office,4,442.18,329.63,112.55
2025-03-11,Faro,Sports,4,282.44,213.59,68.85
2025-03-12,Braga,Fashion,3,214.44,112.39,102.05
2025-03-12,Coimbra,Fashion,4,253.95,158.95,95.0
2025-03-12,Coimbra,Fashion,6,233.9,128.24,105.66
2025-03-12,Braga,Fashion,2,130.6,96.7,33.9
2025-03-12,Faro,Sports,5,350.54,210.93,139.61
2025-03-12,Lisbon,Books,3,64.27,43.55,20.72
2025-03-12,Faro,Sports,4,239.76,143.14,96.61
2025-03-13,Lisbon,Home Office,2,196.54,150.71,45.83
2025-03-13,Braga,Electronics,3,432.97,301.85,131.13
2025-03-13,Lisbon,Sports,6,541.03,318.57,222.46
2025-03-13,Faro,Electronics,7,1593.87,1109.66,484.21
2025-03-13,Faro,Books,3,55.53,42.8,12.73
2025-03-13,Coimbra,Home Office,2,283.78,179.48,104.3
2025-03-14,Braga,Home Office,6,781.47,483.23,298.24
2025-03-14,Faro,Sports,6,453.31,303.04,150.27
2025-03-14,Porto,Home Office,7,912.6,523.91,388.7
2025-03-14,Coimbra,Books,6,108.8,67.76,41.04
2025-03-14,Porto,Books,6,54.64,31.09,23.54
2025-03-14,Lisbon,Electronics,4,574.98,427.83,147.15
2025-03-14,Coimbra,Fashion,5,224.84,174.38,50.46
2025-03-14,Coimbra,Electronics,5,1165.62,680.63,484.98
2025-03-15,Braga,Books,1,28.23,18.12,10.11
2025-03-15,Lisbon,Sports,2,138.29,88.59,49.7
2025-03-15,Porto,Home Office,2,226.94,165.37,61.57
2025-03-15,Braga,Sports,2,140.54,82.39,58.15
2025-03-15,Lisbon,Home Office,1,135.96,78.64,57.32
2025-03-15,Coimbra,Books,6,142.69,75.5,67.19
